project_id,cost_code,category,subcategory,unit,estimated_quantity,estimated_unit_cost,estimated_cost,actual_quantity,actual_unit_cost,actual_cost,project_name,project_type,location,start_date,end_date,duration_days,project_size_sqft,complexity,cost_variance,cost_variance_pct,quantity_variance,quantity_variance_pct,unit_cost_variance,unit_cost_variance_pct,budget_status
P0001,100,Labor,General Labor,hour,3256,31.08,101192.27,3379,29.57,99900.74,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,-1291.53,-1.28,123,3.78,-1.51,-4.86,On Budget
P0001,101,Labor,Equipment Operators,hour,16559,39.37,651851.36,15702,40.09,629495.0,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,-22356.36,-3.43,-857,-5.18,0.72,1.83,On Budget
P0001,102,Labor,Supervisors,hour,8950,54.24,485430.68,9483,58.44,554154.53,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,68723.85,14.16,533,5.96,4.2,7.74,Over Budget
P0001,103,Labor,Skilled Labor,hour,4283,45.32,194122.92,4873,49.41,240779.66,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,46656.74,24.03,590,13.78,4.09,9.02,Over Budget
P0001,200,Materials,Gravel,ton,9761,32.16,313865.09,10306,33.79,348217.95,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,34352.86,10.95,545,5.58,1.63,5.07,Over Budget
P0001,201,Materials,Concrete,cubic_yard,19381,139.85,2710381.08,20163,147.21,2968271.22,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,257890.14,9.51,782,4.03,7.36,5.26,Watch
P0001,202,Materials,Asphalt,ton,7120,95.57,680439.63,7922,101.09,800850.01,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,120410.38,17.7,802,11.26,5.52,5.78,Over Budget
P0001,203,Materials,Topsoil,cubic_yard,8503,38.24,325114.5,8791,39.36,346027.52,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,20913.02,6.43,288,3.39,1.12,2.93,Watch
P0001,300,Equipment,Excavator,hour,9203,124.44,1145205.52,9814,132.51,1300479.73,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,155274.21,13.56,611,6.64,8.07,6.49,Over Budget
P0001,301,Equipment,Bulldozer,hour,8399,163.48,1373075.79,8027,166.79,1338813.31,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,-34262.48,-2.5,-372,-4.43,3.31,2.02,On Budget
P0001,302,Equipment,Loader,hour,4495,122.75,551772.99,4461,123.45,550715.96,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,-1057.03,-0.19,-34,-0.76,0.7,0.57,On Budget
P0001,303,Equipment,Compactor,hour,7418,87.43,648545.16,8033,90.34,725736.47,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,77191.31,11.9,615,8.29,2.91,3.33,Over Budget
P0001,400,Fuel,Diesel,gallon,19495,3.78,73706.83,19919,4.02,80055.36,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,6348.53,8.61,424,2.17,0.24,6.35,Watch
P0001,500,Subcontractor,Concrete Work,job,9,26226.54,236038.82,9,26867.32,241805.92,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,5767.1,2.44,0,0.0,640.78,2.44,On Budget
P0001,501,Subcontractor,Utility Work,job,6,22349.78,134098.67,6,23141.75,138850.51,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium,4751.84,3.54,0,0.0,791.97,3.54,On Budget
P0002,100,Labor,General Labor,hour,8977,33.26,298567.27,9455,33.27,314543.63,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,15976.36,5.35,478,5.32,0.01,0.03,Watch
P0002,101,Labor,Equipment Operators,hour,7028,41.15,289199.87,8107,42.75,346566.95,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,57367.08,19.84,1079,15.35,1.6,3.89,Over Budget
P0002,102,Labor,Supervisors,hour,5371,51.15,274728.65,5728,53.98,309188.31,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,34459.66,12.54,357,6.65,2.83,5.53,Over Budget
P0002,103,Labor,Skilled Labor,hour,4570,45.49,207899.93,4297,46.37,199266.44,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,-8633.49,-4.15,-273,-5.97,0.88,1.93,On Budget
P0002,200,Materials,Gravel,ton,8560,36.67,313909.99,8887,35.39,314473.04,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,563.05,0.18,327,3.82,-1.28,-3.49,On Budget
P0002,201,Materials,Concrete,cubic_yard,12120,137.23,1663286.06,13589,149.17,2027049.74,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,363763.68,21.87,1469,12.12,11.94,8.7,Over Budget
P0002,202,Materials,Asphalt,ton,8703,98.32,855713.43,8572,95.17,815831.94,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,-39881.49,-4.66,-131,-1.51,-3.15,-3.2,On Budget
P0002,203,Materials,Topsoil,cubic_yard,5843,37.88,221355.68,6015,39.14,235455.02,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,14099.34,6.37,172,2.94,1.26,3.33,Watch
P0002,300,Equipment,Excavator,hour,3994,125.28,500354.69,4098,128.51,526648.5,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,26293.81,5.26,104,2.6,3.23,2.58,Watch
P0002,301,Equipment,Bulldozer,hour,289,144.02,41621.94,290,141.14,40931.79,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,-690.15,-1.66,1,0.35,-2.88,-2.0,On Budget
P0002,302,Equipment,Loader,hour,5724,119.46,683809.42,6906,125.97,869945.26,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,186135.84,27.22,1182,20.65,6.51,5.45,Over Budget
P0002,303,Equipment,Compactor,hour,463,91.59,42406.61,443,86.33,38243.33,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,-4163.28,-9.82,-20,-4.32,-5.26,-5.74,Under Budget
P0002,400,Fuel,Diesel,gallon,42174,3.71,156346.34,49146,3.8,186514.38,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,30168.04,19.3,6972,16.53,0.09,2.43,Over Budget
P0002,500,Subcontractor,Concrete Work,job,4,28277.73,113110.91,4,28019.66,112078.63,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,-1032.28,-0.91,0,0.0,-258.07,-0.91,On Budget
P0002,501,Subcontractor,Utility Work,job,1,21073.48,21073.48,1,21611.35,21611.35,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low,537.87,2.55,0,0.0,537.87,2.55,On Budget
P0003,100,Labor,General Labor,hour,2794,31.45,87883.74,2941,33.66,98999.2,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,11115.46,12.65,147,5.26,2.21,7.03,Over Budget
P0003,101,Labor,Equipment Operators,hour,1703,45.22,77014.06,1963,46.82,91905.16,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,14891.1,19.34,260,15.27,1.6,3.54,Over Budget
P0003,102,Labor,Supervisors,hour,1264,53.32,67392.12,1227,54.03,66298.17,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,-1093.95,-1.62,-37,-2.93,0.71,1.33,On Budget
P0003,103,Labor,Skilled Labor,hour,2236,48.35,108102.57,2215,46.61,103246.6,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,-4855.97,-4.49,-21,-0.94,-1.74,-3.6,On Budget
P0003,200,Materials,Gravel,ton,1724,35.59,61351.73,1620,37.08,60075.62,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,-1276.11,-2.08,-104,-6.03,1.49,4.19,On Budget
P0003,201,Materials,Concrete,cubic_yard,2656,143.34,380722.27,3045,148.69,452758.43,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,72036.16,18.92,389,14.65,5.35,3.73,Over Budget
P0003,202,Materials,Asphalt,ton,361,97.33,35135.57,350,103.18,36113.01,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,977.44,2.78,-11,-3.05,5.85,6.01,On Budget
P0003,203,Materials,Topsoil,cubic_yard,2473,35.64,88139.13,2206,36.3,80080.67,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,-8058.46,-9.14,-267,-10.8,0.66,1.85,Under Budget
P0003,300,Equipment,Excavator,hour,1371,135.97,186413.1,1428,134.13,191543.52,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,5130.42,2.75,57,4.16,-1.84,-1.35,On Budget
P0003,301,Equipment,Bulldozer,hour,305,148.94,45425.55,340,154.18,52420.52,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,6994.97,15.4,35,11.48,5.24,3.52,Over Budget
P0003,302,Equipment,Loader,hour,899,121.01,108786.43,1002,126.16,126414.87,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,17628.44,16.2,103,11.46,5.15,4.26,Over Budget
P0003,303,Equipment,Compactor,hour,649,99.53,64598.11,576,97.4,56099.53,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,-8498.58,-13.16,-73,-11.25,-2.13,-2.14,Under Budget
P0003,400,Fuel,Diesel,gallon,1734,3.81,6612.96,1901,3.78,7189.73,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,576.77,8.72,167,9.63,-0.03,-0.79,Watch
P0003,500,Subcontractor,Concrete Work,job,1,27159.32,27159.32,1,28857.73,28857.73,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,1698.41,6.25,0,0.0,1698.41,6.25,Watch
P0003,501,Subcontractor,Utility Work,job,1,20824.44,20824.44,1,21014.43,21014.43,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High,189.99,0.91,0,0.0,189.99,0.91,On Budget
P0004,100,Labor,General Labor,hour,851,32.04,27262.72,863,32.26,27843.85,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,581.13,2.13,12,1.41,0.22,0.69,On Budget
P0004,101,Labor,Equipment Operators,hour,2564,44.15,113208.13,2483,47.05,116834.04,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,3625.91,3.2,-81,-3.16,2.9,6.57,On Budget
P0004,102,Labor,Supervisors,hour,3341,54.87,183324.54,3851,57.39,220995.42,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,37670.88,20.55,510,15.26,2.52,4.59,Over Budget
P0004,103,Labor,Skilled Labor,hour,3368,51.68,174074.17,3514,51.12,179641.43,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,5567.26,3.2,146,4.33,-0.56,-1.08,On Budget
P0004,200,Materials,Gravel,ton,375,31.44,11789.9,371,30.49,11310.86,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,-479.04,-4.06,-4,-1.07,-0.95,-3.02,On Budget
P0004,201,Materials,Concrete,cubic_yard,3289,141.21,464455.15,3409,148.17,505127.05,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium,40671.9,8.76,120,3.65,6.96,4.93,Watch
