project_id,project_name,project_type,location,complexity,estimated_cost,actual_cost,avg_quantity_variance_pct,avg_unit_cost_variance_pct,max_line_variance_pct,cost_variance,variance_pct,anomaly_prediction,anomaly_score,anomaly_status
P0001,East Road Project 1,Warehouse Development,"Tonawanda, NY",Medium,9624841.31,10364153.89,3.634,3.834,24.03,739312.5800000001,7.681296305964757,1,0.1491615978152614,Normal
P0002,Central Industrial Project 2,Industrial Site,"Williamsville, NY",Low,5683384.2700000005,6358348.31,4.968666666666667,1.4053333333333333,27.22,674964.0399999991,11.876093678247786,1,0.07731364185872475,Normal
P0003,East Municipal Project 3,Industrial Site,"Amherst, NY",High,1365561.1,1473017.19,2.460666666666667,2.3160000000000003,19.34,107456.08999999985,7.86900637400991,1,0.1267978339402862,Normal
P0004,West Road Project 4,Warehouse Development,"Amherst, NY",Medium,1717622.36,1845386.04,3.651333333333333,2.9106666666666667,21.36,127763.67999999993,7.438403398521193,1,0.1533098185078446,Normal
P0005,North Road Project 5,Municipal Improvement,"Buffalo, NY",Low,4707281.38,5202279.54,6.864000000000001,4.331333333333333,42.77,494998.16000000015,10.515584687652561,1,0.1495619341075941,Normal
P0006,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",Low,9967683.89,10652464.66,6.378666666666667,1.2139999999999997,49.36,684780.7699999996,6.8700088963194395,1,0.07469339242307926,Normal
P0007,North Warehouse Project 7,Residential Development,"Lancaster, NY",Medium,6721806.54,7402113.99,7.959333333333333,3.3033333333333332,44.95,680307.4500000002,10.120901962168048,1,0.13892097661589792,Normal
P0008,North Industrial Project 8,Industrial Site,"Williamsville, NY",Medium,3333930.56,3604340.39,6.433999999999999,2.126666666666667,60.81,270409.8300000001,8.110841696714886,1,0.04203341074902478,Normal
P0009,North Warehouse Project 9,Road & Infrastructure,"Amherst, NY",Medium,3785218.6900000004,4250969.97,5.411333333333333,4.096666666666667,33.85,465751.27999999933,12.304474804334205,1,0.13348631775984887,Normal
P0010,Central Commercial Project 10,Residential Development,"Tonawanda, NY",High,6258706.35,6415080.74,3.964,2.4040000000000004,41.54,156374.3900000006,2.498509775906016,1,0.10761604066342301,Normal
P0011,North Municipal Project 11,Municipal Improvement,"Clarence, NY",Medium,1108337.91,1172005.12,2.348,3.64,18.21,63667.210000000196,5.744386204384202,1,0.11991448537868743,Normal
P0012,Central Industrial Project 12,Warehouse Development,"Hamburg, NY",Low,10925773.23,11654246.25,5.12,2.692,22.74,728473.0199999996,6.66747336472038,1,0.14685820859684362,Normal
P0013,West Industrial Project 13,Municipal Improvement,"Clarence, NY",Low,8301097.78,8730899.02,4.209333333333333,1.824,38.76,429801.2399999993,5.177643383933242,1,0.13661772310216497,Normal
P0014,Central Commercial Project 14,Warehouse Development,"Buffalo, NY",Low,4832106.38,5341518.21,6.841333333333334,3.374,38.79,509411.8300000001,10.542231274304024,1,0.1548929036961385,Normal
P0015,North Road Project 15,Residential Development,"Clarence, NY",Medium,1852777.44,2032975.76,3.529333333333333,3.6473333333333335,25.41,180198.32000000007,9.725848129929737,1,0.142770869526067,Normal
P0016,North Commercial Project 16,Industrial Site,"Williamsville, NY",Low,3199061.71,3694777.45,7.4959999999999996,1.7833333333333334,42.66,495715.7400000002,15.495660444762105,1,0.04925407508995372,Normal
P0017,North Warehouse Project 17,Municipal Improvement,"Buffalo, NY",Medium,892031.79,916909.28,2.5893333333333337,1.9133333333333333,46.09,24877.48999999999,2.7888568859188294,1,0.0776514365663658,Normal
P0018,West Municipal Project 18,Warehouse Development,"Williamsville, NY",Medium,11817745.14,12972073.42,6.330666666666667,2.538,30.99,1154328.2799999993,9.767754053968364,1,0.1453845852546129,Normal
P0019,South Road Project 19,Industrial Site,"Tonawanda, NY",High,14455939.66,15870003.84,5.957333333333334,4.758666666666667,19.88,1414064.1799999997,9.781890442672198,1,0.06679686002498086,Normal
P0020,Central Road Project 20,Road & Infrastructure,"Buffalo, NY",Low,6818007.34,7169188.93,4.964666666666667,0.8073333333333333,38.66,351181.58999999985,5.150795129534135,1,0.06729519577973564,Normal
P0021,East Warehouse Project 21,Warehouse Development,"Cheektowaga, NY",High,5914970.1899999995,6451866.71,3.4473333333333334,3.478666666666667,36.51,536896.5200000005,9.076909988619917,1,0.16444723882060308,Normal
P0022,East Road Project 22,Residential Development,"Lancaster, NY",Low,6251937.14,7184584.149999999,6.073333333333333,3.8513333333333337,46.14,932647.0099999998,14.9177285234189,1,0.1296347482597226,Normal
P0023,South Commercial Project 23,Road & Infrastructure,"Lancaster, NY",High,7280287.64,7772311.54,2.9213333333333336,2.436,40.92,492023.9000000004,6.7583030277084,1,0.1515012277764351,Normal
P0024,West Warehouse Project 24,Road & Infrastructure,"Williamsville, NY",Low,5740576.39,6424766.7299999995,5.757333333333333,5.139333333333334,34.48,684190.3399999999,11.91849552236339,1,0.10098612797256135,Normal
P0025,East Warehouse Project 25,Commercial Sitework,"Clarence, NY",Medium,2601251.15,2718069.34,3.755333333333333,1.3599999999999999,43.66,116818.18999999994,4.490846260654222,1,0.10333698056069335,Normal
P0026,Central Road Project 26,Municipal Improvement,"Hamburg, NY",Medium,10158163.93,10613865.31,2.228,0.8813333333333334,24.97,455701.3800000008,4.486060504046234,1,0.07656700833860819,Normal
P0027,East Road Project 27,Warehouse Development,"Hamburg, NY",Low,7414579.73,8232117.29,7.058000000000001,4.234,50.76,817537.5599999996,11.026080907757661,1,0.12840054209572727,Normal
P0028,South Municipal Project 28,Road & Infrastructure,"Cheektowaga, NY",Low,7213984.83,7703894.38,6.674,3.0253333333333337,45.63,489909.5499999998,6.791108680498844,1,0.14275797301658094,Normal
P0029,South Commercial Project 29,Commercial Sitework,"Buffalo, NY",Medium,7236977.74,7596579.42,1.2993333333333335,3.627333333333333,19.98,359601.6799999997,4.968948267070387,1,0.11520822007386744,Normal
P0030,South Commercial Project 30,Residential Development,"Cheektowaga, NY",Medium,8008431.82,8553990.36,1.5393333333333332,2.0986666666666665,19.63,545558.5399999991,6.812301737245721,1,0.12447751191905426,Normal
P0031,North Industrial Project 31,Industrial Site,"Cheektowaga, NY",Medium,1813264.6,1954949.1600000001,6.876,2.06,58.12,141684.56000000006,7.813782941551942,1,0.04653677908289855,Normal
P0032,East Road Project 32,Warehouse Development,"Clarence, NY",Medium,11264579.64,12556847.2,6.566666666666666,2.8006666666666664,42.44,1292267.5599999987,11.471955468371108,1,0.15012139317662848,Normal
P0033,Central Commercial Project 33,Road & Infrastructure,"Hamburg, NY",Medium,3987338.55,4158067.04,1.6513333333333335,2.753333333333333,23.66,170728.49000000022,4.28176559023312,1,0.13866589052391876,Normal
P0034,North Municipal Project 34,Municipal Improvement,"Buffalo, NY",Low,1574420.1,1693186.8,5.807333333333333,3.1633333333333336,31.32,118766.69999999995,7.543520309477753,1,0.1570058851564659,Normal
P0035,West Industrial Project 35,Commercial Sitework,"Tonawanda, NY",Low,2075822.55,2172789.2,1.3973333333333333,2.0513333333333335,15.05,96966.65000000014,4.671239841767791,1,0.09891137328413463,Normal
P0036,North Road Project 36,Road & Infrastructure,"Clarence, NY",Low,7811504.83,8078756.21,4.628666666666667,2.07,40.54,267251.3799999999,3.4212534692883225,1,0.11782226779704774,Normal
P0037,East Industrial Project 37,Municipal Improvement,"Cheektowaga, NY",High,13952639.26,15192989.620000001,3.5780000000000003,2.2,24.43,1240350.3600000013,8.889718546339033,1,0.14763380743876875,Normal
P0038,East Industrial Project 38,Road & Infrastructure,"Cheektowaga, NY",Medium,12605604.71,13355256.95,4.082,2.978,38.58,749652.2399999984,5.946975629065227,1,0.17109847916324095,Normal
P0039,South Commercial Project 39,Warehouse Development,"Tonawanda, NY",Medium,10838029.78,11341061.29,2.476666666666667,1.9166666666666667,24.47,503031.5099999998,4.641355672672822,1,0.14241170879719967,Normal
P0040,East Municipal Project 40,Warehouse Development,"Cheektowaga, NY",Medium,9786986.1,9996294.49,3.7706666666666666,1.566,26.2,209308.3900000006,2.1386399026356093,1,0.08916901376319863,Normal
