project_id,cost_code,category,subcategory,unit,actual_quantity,actual_unit_cost,actual_cost
P0001,100,Labor,General Labor,hour,3379,29.57,99900.74
P0001,101,Labor,Equipment Operators,hour,15702,40.09,629495.0
P0001,102,Labor,Supervisors,hour,9483,58.44,554154.53
P0001,103,Labor,Skilled Labor,hour,4873,49.41,240779.66
P0001,200,Materials,Gravel,ton,10306,33.79,348217.95
P0001,201,Materials,Concrete,cubic_yard,20163,147.21,2968271.22
P0001,202,Materials,Asphalt,ton,7922,101.09,800850.01
P0001,203,Materials,Topsoil,cubic_yard,8791,39.36,346027.52
P0001,300,Equipment,Excavator,hour,9814,132.51,1300479.73
P0001,301,Equipment,Bulldozer,hour,8027,166.79,1338813.31
P0001,302,Equipment,Loader,hour,4461,123.45,550715.96
P0001,303,Equipment,Compactor,hour,8033,90.34,725736.47
P0001,400,Fuel,Diesel,gallon,19919,4.02,80055.36
P0001,500,Subcontractor,Concrete Work,job,9,26867.32,241805.92
P0001,501,Subcontractor,Utility Work,job,6,23141.75,138850.51
P0002,100,Labor,General Labor,hour,9455,33.27,314543.63
P0002,101,Labor,Equipment Operators,hour,8107,42.75,346566.95
P0002,102,Labor,Supervisors,hour,5728,53.98,309188.31
P0002,103,Labor,Skilled Labor,hour,4297,46.37,199266.44
P0002,200,Materials,Gravel,ton,8887,35.39,314473.04
P0002,201,Materials,Concrete,cubic_yard,13589,149.17,2027049.74
P0002,202,Materials,Asphalt,ton,8572,95.17,815831.94
P0002,203,Materials,Topsoil,cubic_yard,6015,39.14,235455.02
P0002,300,Equipment,Excavator,hour,4098,128.51,526648.5
P0002,301,Equipment,Bulldozer,hour,290,141.14,40931.79
P0002,302,Equipment,Loader,hour,6906,125.97,869945.26
P0002,303,Equipment,Compactor,hour,443,86.33,38243.33
P0002,400,Fuel,Diesel,gallon,49146,3.8,186514.38
P0002,500,Subcontractor,Concrete Work,job,4,28019.66,112078.63
P0002,501,Subcontractor,Utility Work,job,1,21611.35,21611.35
P0003,100,Labor,General Labor,hour,2941,33.66,98999.2
P0003,101,Labor,Equipment Operators,hour,1963,46.82,91905.16
P0003,102,Labor,Supervisors,hour,1227,54.03,66298.17
P0003,103,Labor,Skilled Labor,hour,2215,46.61,103246.6
P0003,200,Materials,Gravel,ton,1620,37.08,60075.62
P0003,201,Materials,Concrete,cubic_yard,3045,148.69,452758.43
P0003,202,Materials,Asphalt,ton,350,103.18,36113.01
P0003,203,Materials,Topsoil,cubic_yard,2206,36.3,80080.67
P0003,300,Equipment,Excavator,hour,1428,134.13,191543.52
P0003,301,Equipment,Bulldozer,hour,340,154.18,52420.52
P0003,302,Equipment,Loader,hour,1002,126.16,126414.87
P0003,303,Equipment,Compactor,hour,576,97.4,56099.53
P0003,400,Fuel,Diesel,gallon,1901,3.78,7189.73
P0003,500,Subcontractor,Concrete Work,job,1,28857.73,28857.73
P0003,501,Subcontractor,Utility Work,job,1,21014.43,21014.43
P0004,100,Labor,General Labor,hour,863,32.26,27843.85
P0004,101,Labor,Equipment Operators,hour,2483,47.05,116834.04
P0004,102,Labor,Supervisors,hour,3851,57.39,220995.42
P0004,103,Labor,Skilled Labor,hour,3514,51.12,179641.43
P0004,200,Materials,Gravel,ton,371,30.49,11310.86
P0004,201,Materials,Concrete,cubic_yard,3409,148.17,505127.05
P0004,202,Materials,Asphalt,ton,1134,93.84,106409.11
P0004,203,Materials,Topsoil,cubic_yard,1009,37.56,37895.72
P0004,300,Equipment,Excavator,hour,1461,154.28,225400.18
P0004,301,Equipment,Bulldozer,hour,994,168.41,167401.11
P0004,302,Equipment,Loader,hour,131,127.12,16653.3
P0004,303,Equipment,Compactor,hour,1180,89.6,105729.88
P0004,400,Fuel,Diesel,gallon,13058,3.67,47955.03
P0004,500,Subcontractor,Concrete Work,job,2,27709.98,55419.95
P0004,501,Subcontractor,Utility Work,job,1,20769.11,20769.11
P0005,100,Labor,General Labor,hour,5241,32.4,169815.64
P0005,101,Labor,Equipment Operators,hour,1819,44.07,80171.13
P0005,102,Labor,Supervisors,hour,9194,61.52,565573.7
P0005,103,Labor,Skilled Labor,hour,12084,54.28,655968.56
P0005,200,Materials,Gravel,ton,6872,35.11,241306.23
P0005,201,Materials,Concrete,cubic_yard,10223,146.08,1493396.52
P0005,202,Materials,Asphalt,ton,920,94.54,86973.12
P0005,203,Materials,Topsoil,cubic_yard,11410,40.78,465247.32
P0005,300,Equipment,Excavator,hour,2981,137.05,408550.57
P0005,301,Equipment,Bulldozer,hour,1695,161.15,273141.22
P0005,302,Equipment,Loader,hour,558,133.75,74632.22
P0005,303,Equipment,Compactor,hour,3924,90.03,353288.32
P0005,400,Fuel,Diesel,gallon,20470,3.85,78731.39
P0005,500,Subcontractor,Concrete Work,job,5,28622.46,143112.28
P0005,501,Subcontractor,Utility Work,job,5,22474.26,112371.32
P0006,100,Labor,General Labor,hour,22186,30.85,684540.21
P0006,101,Labor,Equipment Operators,hour,18801,36.88,693297.41
P0006,102,Labor,Supervisors,hour,16932,54.29,919226.64
P0006,103,Labor,Skilled Labor,hour,16847,57.54,969310.99
P0006,200,Materials,Gravel,ton,6500,32.66,212279.46
P0006,201,Materials,Concrete,cubic_yard,1492,139.42,208021.08
