project_id,cost_code,category,subcategory,unit,estimated_quantity,estimated_unit_cost,estimated_cost
P0001,100,Labor,General Labor,hour,3256,31.08,101192.27
P0001,101,Labor,Equipment Operators,hour,16559,39.37,651851.36
P0001,102,Labor,Supervisors,hour,8950,54.24,485430.68
P0001,103,Labor,Skilled Labor,hour,4283,45.32,194122.92
P0001,200,Materials,Gravel,ton,9761,32.16,313865.09
P0001,201,Materials,Concrete,cubic_yard,19381,139.85,2710381.08
P0001,202,Materials,Asphalt,ton,7120,95.57,680439.63
P0001,203,Materials,Topsoil,cubic_yard,8503,38.24,325114.5
P0001,300,Equipment,Excavator,hour,9203,124.44,1145205.52
P0001,301,Equipment,Bulldozer,hour,8399,163.48,1373075.79
P0001,302,Equipment,Loader,hour,4495,122.75,551772.99
P0001,303,Equipment,Compactor,hour,7418,87.43,648545.16
P0001,400,Fuel,Diesel,gallon,19495,3.78,73706.83
P0001,500,Subcontractor,Concrete Work,job,9,26226.54,236038.82
P0001,501,Subcontractor,Utility Work,job,6,22349.78,134098.67
P0002,100,Labor,General Labor,hour,8977,33.26,298567.27
P0002,101,Labor,Equipment Operators,hour,7028,41.15,289199.87
P0002,102,Labor,Supervisors,hour,5371,51.15,274728.65
P0002,103,Labor,Skilled Labor,hour,4570,45.49,207899.93
P0002,200,Materials,Gravel,ton,8560,36.67,313909.99
P0002,201,Materials,Concrete,cubic_yard,12120,137.23,1663286.06
P0002,202,Materials,Asphalt,ton,8703,98.32,855713.43
P0002,203,Materials,Topsoil,cubic_yard,5843,37.88,221355.68
P0002,300,Equipment,Excavator,hour,3994,125.28,500354.69
P0002,301,Equipment,Bulldozer,hour,289,144.02,41621.94
P0002,302,Equipment,Loader,hour,5724,119.46,683809.42
P0002,303,Equipment,Compactor,hour,463,91.59,42406.61
P0002,400,Fuel,Diesel,gallon,42174,3.71,156346.34
P0002,500,Subcontractor,Concrete Work,job,4,28277.73,113110.91
P0002,501,Subcontractor,Utility Work,job,1,21073.48,21073.48
P0003,100,Labor,General Labor,hour,2794,31.45,87883.74
P0003,101,Labor,Equipment Operators,hour,1703,45.22,77014.06
P0003,102,Labor,Supervisors,hour,1264,53.32,67392.12
P0003,103,Labor,Skilled Labor,hour,2236,48.35,108102.57
P0003,200,Materials,Gravel,ton,1724,35.59,61351.73
P0003,201,Materials,Concrete,cubic_yard,2656,143.34,380722.27
P0003,202,Materials,Asphalt,ton,361,97.33,35135.57
P0003,203,Materials,Topsoil,cubic_yard,2473,35.64,88139.13
P0003,300,Equipment,Excavator,hour,1371,135.97,186413.1
P0003,301,Equipment,Bulldozer,hour,305,148.94,45425.55
P0003,302,Equipment,Loader,hour,899,121.01,108786.43
P0003,303,Equipment,Compactor,hour,649,99.53,64598.11
P0003,400,Fuel,Diesel,gallon,1734,3.81,6612.96
