project_id,cost_code,category,subcategory,unit,estimated_quantity,estimated_unit_cost,estimated_cost,actual_quantity,actual_unit_cost,actual_cost,variance,variance_pct,budget_status
P0001,100,Labor,General Labor,hour,3256,31.08,101192.27,3379,29.57,99900.74,-1291.5299999999988,-1.2763129041378347,On Budget
P0001,101,Labor,Equipment Operators,hour,16559,39.37,651851.36,15702,40.09,629495.0,-22356.359999999986,-3.429671451479366,On Budget
P0001,102,Labor,Supervisors,hour,8950,54.24,485430.68,9483,58.44,554154.53,68723.85000000003,14.157294302041237,Over Budget
P0001,103,Labor,Skilled Labor,hour,4283,45.32,194122.92,4873,49.41,240779.66,46656.73999999999,24.034637434878885,Over Budget
P0001,200,Materials,Gravel,ton,9761,32.16,313865.09,10306,33.79,348217.95,34352.859999999986,10.945103834262033,Over Budget
P0001,201,Materials,Concrete,cubic_yard,19381,139.85,2710381.08,20163,147.21,2968271.22,257890.14000000013,9.514903343407346,Watch
P0001,202,Materials,Asphalt,ton,7120,95.57,680439.63,7922,101.09,800850.01,120410.38,17.695968119905068,Over Budget
P0001,203,Materials,Topsoil,cubic_yard,8503,38.24,325114.5,8791,39.36,346027.52,20913.02000000002,6.432509162156723,Watch
P0001,300,Equipment,Excavator,hour,9203,124.44,1145205.52,9814,132.51,1300479.73,155274.20999999996,13.558632689790034,Over Budget
P0001,301,Equipment,Bulldozer,hour,8399,163.48,1373075.79,8027,166.79,1338813.31,-34262.47999999998,-2.4953087258205886,On Budget
P0001,302,Equipment,Loader,hour,4495,122.75,551772.99,4461,123.45,550715.96,-1057.030000000028,-0.19156972507842907,On Budget
P0001,303,Equipment,Compactor,hour,7418,87.43,648545.16,8033,90.34,725736.47,77191.30999999994,11.902225898964373,Over Budget
P0001,400,Fuel,Diesel,gallon,19495,3.78,73706.83,19919,4.02,80055.36,6348.529999999999,8.613218069478771,Watch
P0001,500,Subcontractor,Concrete Work,job,9,26226.54,236038.82,9,26867.32,241805.92,5767.100000000006,2.4432845410767627,On Budget
P0001,501,Subcontractor,Utility Work,job,6,22349.78,134098.67,6,23141.75,138850.51,4751.8399999999965,3.5435399918582307,On Budget
P0002,100,Labor,General Labor,hour,8977,33.26,298567.27,9455,33.27,314543.63,15976.359999999986,5.3510085013672075,Watch
P0002,101,Labor,Equipment Operators,hour,7028,41.15,289199.87,8107,42.75,346566.95,57367.080000000016,19.836481945859802,Over Budget
P0002,102,Labor,Supervisors,hour,5371,51.15,274728.65,5728,53.98,309188.31,34459.659999999974,12.543162134710004,Over Budget
P0002,103,Labor,Skilled Labor,hour,4570,45.49,207899.93,4297,46.37,199266.44,-8633.48999999999,-4.152714240933122,On Budget
P0002,200,Materials,Gravel,ton,8560,36.67,313909.99,8887,35.39,314473.04,563.0499999999884,0.17936670317500517,On Budget
P0002,201,Materials,Concrete,cubic_yard,12120,137.23,1663286.06,13589,149.17,2027049.74,363763.67999999993,21.870181488805354,Over Budget
P0002,202,Materials,Asphalt,ton,8703,98.32,855713.43,8572,95.17,815831.94,-39881.49000000011,-4.6606128409133545,On Budget
P0002,203,Materials,Topsoil,cubic_yard,5843,37.88,221355.68,6015,39.14,235455.02,14099.339999999997,6.369540641559321,Watch
P0002,300,Equipment,Excavator,hour,3994,125.28,500354.69,4098,128.51,526648.5,26293.809999999998,5.255034183850659,Watch
P0002,301,Equipment,Bulldozer,hour,289,144.02,41621.94,290,141.14,40931.79,-690.1500000000015,-1.6581399137089754,On Budget
P0002,302,Equipment,Loader,hour,5724,119.46,683809.42,6906,125.97,869945.26,186135.83999999997,27.220426416471415,Over Budget
P0002,303,Equipment,Compactor,hour,463,91.59,42406.61,443,86.33,38243.33,-4163.279999999999,-9.817526088503653,Under Budget
P0002,400,Fuel,Diesel,gallon,42174,3.71,156346.34,49146,3.8,186514.38,30168.040000000008,19.295648366312896,Over Budget
P0002,500,Subcontractor,Concrete Work,job,4,28277.73,113110.91,4,28019.66,112078.63,-1032.2799999999988,-0.9126263770665437,On Budget
P0002,501,Subcontractor,Utility Work,job,1,21073.48,21073.48,1,21611.35,21611.35,537.869999999999,2.552354902939614,On Budget
P0003,100,Labor,General Labor,hour,2794,31.45,87883.74,2941,33.66,98999.2,11115.459999999992,12.64791416478178,Over Budget
P0003,101,Labor,Equipment Operators,hour,1703,45.22,77014.06,1963,46.82,91905.16,14891.100000000006,19.335560286004927,Over Budget
P0003,102,Labor,Supervisors,hour,1264,53.32,67392.12,1227,54.03,66298.17,-1093.949999999997,-1.6232609984668789,On Budget
P0003,103,Labor,Skilled Labor,hour,2236,48.35,108102.57,2215,46.61,103246.6,-4855.970000000001,-4.492002364051105,On Budget
P0003,200,Materials,Gravel,ton,1724,35.59,61351.73,1620,37.08,60075.62,-1276.1100000000006,-2.0799902464038107,On Budget
P0003,201,Materials,Concrete,cubic_yard,2656,143.34,380722.27,3045,148.69,452758.43,72036.15999999997,18.92092101678212,Over Budget
P0003,202,Materials,Asphalt,ton,361,97.33,35135.57,350,103.18,36113.01,977.4400000000023,2.7819101838962688,On Budget
P0003,203,Materials,Topsoil,cubic_yard,2473,35.64,88139.13,2206,36.3,80080.67,-8058.460000000006,-9.142885798850074,Under Budget
P0003,300,Equipment,Excavator,hour,1371,135.97,186413.1,1428,134.13,191543.52,5130.419999999984,2.752177824412546,On Budget
P0003,301,Equipment,Bulldozer,hour,305,148.94,45425.55,340,154.18,52420.52,6994.969999999994,15.398756867005448,Over Budget
P0003,302,Equipment,Loader,hour,899,121.01,108786.43,1002,126.16,126414.87,17628.440000000002,16.20463140485445,Over Budget
P0003,303,Equipment,Compactor,hour,649,99.53,64598.11,576,97.4,56099.53,-8498.580000000002,-13.156081501455697,Under Budget
P0003,400,Fuel,Diesel,gallon,1734,3.81,6612.96,1901,3.78,7189.73,576.7699999999995,8.721812924923174,Watch
P0003,500,Subcontractor,Concrete Work,job,1,27159.32,27159.32,1,28857.73,28857.73,1698.4099999999999,6.253507083387949,Watch
P0003,501,Subcontractor,Utility Work,job,1,20824.44,20824.44,1,21014.43,21014.43,189.9900000000016,0.9123414603225903,On Budget
P0004,100,Labor,General Labor,hour,851,32.04,27262.72,863,32.26,27843.85,581.1299999999974,2.131592152213709,On Budget
P0004,101,Labor,Equipment Operators,hour,2564,44.15,113208.13,2483,47.05,116834.04,3625.909999999989,3.202870677220787,On Budget
P0004,102,Labor,Supervisors,hour,3341,54.87,183324.54,3851,57.39,220995.42,37670.880000000005,20.548738319485217,Over Budget
P0004,103,Labor,Skilled Labor,hour,3368,51.68,174074.17,3514,51.12,179641.43,5567.25999999998,3.1982114290707115,On Budget
P0004,200,Materials,Gravel,ton,375,31.44,11789.9,371,30.49,11310.86,-479.03999999999905,-4.0631387882848795,On Budget
P0004,201,Materials,Concrete,cubic_yard,3289,141.21,464455.15,3409,148.17,505127.05,40671.899999999965,8.756905806728586,Watch
P0004,202,Materials,Asphalt,ton,1107,88.38,97840.67,1134,93.84,106409.11,8568.440000000002,8.757544280921218,Watch
P0004,203,Materials,Topsoil,cubic_yard,876,35.65,31226.5,1009,37.56,37895.72,6669.220000000001,21.35756488879638,Over Budget
P0004,300,Equipment,Excavator,hour,1535,140.18,215171.54,1461,154.28,225400.18,10228.639999999985,4.753714176140574,On Budget
P0004,301,Equipment,Bulldozer,hour,1003,160.9,161386.83,994,168.41,167401.11,6014.279999999999,3.72662378956201,On Budget
P0004,302,Equipment,Loader,hour,118,124.59,14702.15,131,127.12,16653.3,1951.1499999999996,13.271188227572155,Over Budget
