project_id,project_name,project_type,location,start_date,end_date,duration_days,project_size_sqft,complexity
P0001,East Road Project 1,Warehouse Development,"Tonawanda, NY",2024-04-12,2025-02-28,322,438570,Medium
P0002,Central Industrial Project 2,Industrial Site,"Williamsville, NY",2025-03-11,2025-09-15,188,290987,Low
P0003,East Municipal Project 3,Industrial Site,"Amherst, NY",2024-09-27,2025-05-21,236,32640,High
P0004,West Road Project 4,Warehouse Development,"Amherst, NY",2024-04-16,2025-02-07,297,67528,Medium
P0005,North Road Project 5,Municipal Improvement,"Buffalo, NY",2024-03-12,2024-10-18,220,274214,Low
P0006,Central Warehouse Project 6,Municipal Improvement,"Amherst, NY",2025-12-01,2026-07-30,241,516108,Low
P0007,North Warehouse Project 7,Residential Development,"Lancaster, NY",2024-01-21,2024-06-12,143,383501,Medium
P0008,North Industrial Project 8,Industrial Site,"Williamsville, NY",2025-09-06,2026-04-03,209,165159,Medium
P0009,North Warehouse Project 9,Road & Infrastructure,"Amherst, NY",2024-05-01,2025-01-06,250,187502,Medium
P0010,Central Commercial Project 10,Residential Development,"Tonawanda, NY",2025-04-11,2025-11-02,205,170576,High
P0011,North Municipal Project 11,Municipal Improvement,"Clarence, NY",2024-08-02,2025-01-13,164,26023,Medium
P0012,Central Industrial Project 12,Warehouse Development,"Hamburg, NY",2024-11-26,2025-06-16,202,560735,Low
P0013,West Industrial Project 13,Municipal Improvement,"Clarence, NY",2025-04-03,2025-10-13,193,403043,Low
P0014,Central Commercial Project 14,Warehouse Development,"Buffalo, NY",2024-03-28,2025-03-06,343,301103,Low
P0015,North Road Project 15,Residential Development,"Clarence, NY",2025-01-07,2025-11-19,316,81203,Medium
P0016,North Commercial Project 16,Industrial Site,"Williamsville, NY",2024-04-09,2024-10-27,201,175775,Low
P0017,North Warehouse Project 17,Municipal Improvement,"Buffalo, NY",2025-10-25,2026-05-01,188,24337,Medium
P0018,West Municipal Project 18,Warehouse Development,"Williamsville, NY",2024-05-10,2025-01-07,242,585715,Medium
P0019,South Road Project 19,Industrial Site,"Tonawanda, NY",2025-10-23,2026-08-02,283,529723,High
P0020,Central Road Project 20,Road & Infrastructure,"Buffalo, NY",2024-11-04,2025-07-14,252,338673,Low
P0021,East Warehouse Project 21,Warehouse Development,"Cheektowaga, NY",2026-02-08,2026-12-02,297,379167,High
P0022,East Road Project 22,Residential Development,"Lancaster, NY",2024-12-09,2025-08-24,258,361809,Low
